web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1549195645-750","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@AliciaSilv","Alicia Silverstone","Try these 15 #vegan Thanksgiving side dishes: http://bit.ly/kindtgsides","3","53","37","1353354313000","1:15 AM - 20 Nov 2012","/AliciaSilv/status/270613720324001792"
"1549195645-46","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@Brendan_Brazier","Brendan Brazier","Find your Athletic Edge. #vegan #performance #nutrition. from last month, my @tedtalks @TEDxFremont talk is up: http://www.youtube.com/watch?v=Jqpjap8rewo …","1","5","4","1356808067000","12:37 AM - 30 Dec 2012","/Brendan_Brazier/status/285099813723320321"
"1549195645-127","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@drewcanole","Drew Canole","#Vegan?  Here are 7 #plant based #protein sources!  Try them even if you're not vegan :)  #WITT - http://ow.ly/gdUbX","1","6","8","1356288311000","12:15 AM - 24 Dec 2012","/drewcanole/status/282919799749746689"
"1549195645-412","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@udisglutenfree","Udi's Gluten Free","To die for Chocolate Snowballs!!! #grainfree #vegan http://bit.ly/THVpgR","2","8","9","1354816620000","11:27 PM - 6 Dec 2012","/udisglutenfree/status/276747081476096000"
"1549195645-726","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@VeganTweeter","Vegan Tweeter (Alex)","Vegans are the conscientious objectors to a war that takes over 10 billion innocent lives per year. Opt out of the violence. #GoVegan #Vegan","2","14","4","1353438161000","12:32 AM - 21 Nov 2012","/VeganTweeter/status/270965406469079040"
"1549195645-1052","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@OneGreenPlanet","One Green Planet","A Beginner's Guide to Vegan Baking: http://ow.ly/eYkHS  #vegan #baking","","12","6","1351962054000","10:30 PM - 3 Nov 2012","/OneGreenPlanet/status/264774165058445313"
"1549195645-893","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@Fab","Fab","Baking for #GlutenFree & #Vegan guests this holiday season? Wholesome Chow has you covered! http://bit.ly/Uyd5R0 pic.twitter.com/xyjZ7nGb","","4","4","1352733657000","8:50 PM - 12 Nov 2012","/Fab/status/268010500279922690"
"1549195645-1274","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@savetheearth5","savetheearth5","Action of the day: do you know #vegan #vegetarian restaurants in your town? Send the link to @EarthActivists with #EarthRestaurants Thanks!","","3","","1350924836000","10:23 PM - 22 Oct 2012","/savetheearth5/status/260423754767806465"
"1549195645-1034","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@Kake","Kake","Would you eat at a #vegan fine dining restaurant in #London? I certainly would. If you agree, please do the survey: http://fatgayvegan.com/2012/11/04/london-needs-to-eat-more-vedge/ …","1","11","2","1352063178000","2:36 AM - 5 Nov 2012","/Kake/status/265198307805110273"
"1549195645-606","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@OneGreenPlanet","One Green Planet","Why eating vegan is the only way to preserve our rights: http://ow.ly/eHCDu  #vegan","1","5","1","1353902415000","9:30 AM - 26 Nov 2012","/OneGreenPlanet/status/272912627968143362"
"1549195645-1213","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@OneGreenPlanet","One Green Planet","12 mouthwatering vegan muffin recipes - with some delicious, seasonal ingredients! http://ow.ly/eJG6R  #vegan #recipes","","5","6","1351177316000","8:31 PM - 25 Oct 2012","/OneGreenPlanet/status/261482734701121537"
"1549195645-1255","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@ohsheglows","Angela Liddon","Baked Apples Stuffed with Cinnamon Date Pecan Oatmeal - 3 ways!  http://bit.ly/Vm4XxR    #vegan","1","3","8","1351001935000","7:48 PM - 23 Oct 2012","/ohsheglows/status/260747132171083776"
