"sentiment","n","top_words","country"
"positive",524,"eat love good food chocolate delicious","Australia"
"trust",277,"good food chocolate sweet top","Australia"
"joy",262,"love good food chocolate delicious","Australia"
"anticipation",244,"good chocolate sweet time top","Australia"
"negative",196,"cruelty feeling lemon cheesecake abuse black calls copy fudge harm quit slaughter suffering wait weight","Australia"
"fear",126,"cruelty change feeling watch chicken","Australia"
"sadness",108,"cruelty feeling abuse black lovely slaughter suffering weight","Australia"
"surprise",108,"good sweet festival cream feeling gift","Australia"
"anger",107,"cruelty feeling hot abuse slaughter","Australia"
"disgust",88,"cruelty feeling lemon abuse slaughter suffering weight","Australia"
"positive",10063,"food chocolate delicious eat love","UK"
"joy",5587,"food chocolate delicious love good","UK"
"trust",5135,"food chocolate good happy perfect","UK"
"anticipation",4873,"chocolate good happy time perfect","UK"
"negative",3512,"black cruelty lemon copy cheesecake","UK"
"surprise",2106,"good sweet cream chance gift","UK"
"fear",2099,"change cruelty watch chicken compassion","UK"
"sadness",1848,"black cruelty lovely suffering feeling kill","UK"
"anger",1640,"cruelty hot feeling demand killing","UK"
"disgust",1299,"cruelty lemon suffering feeling treat","UK"
"positive",35278,"food chocolate love delicious eat","USA"
"joy",20210,"food chocolate love delicious cream","USA"
"trust",17834,"food chocolate good sweet happy","USA"
"anticipation",16357,"chocolate cream good sweet happy","USA"
"negative",10756,"black lemon cruelty cheesecake fall","USA"
"surprise",7071,"cream good sweet chance excited","USA"
"fear",6200,"watch change cruelty chicken compassion","USA"
"sadness",5636,"black cruelty fall treat ultimate","USA"
"anger",4949,"hot cruelty treat fight bad killing","USA"
"disgust",3870,"lemon cruelty treat suffering pig","USA"
