handle,content,tweet_replies,tweet_retweets,tweets_favorites,published_date,user_description,total_status_counts,total_followers,total_favorites,total_friends,account_created,protected,verified,screenName,location,lang,id,listedCount,followRequestSent,no_of_hashtags,no_of_urls
_CarolJAdams,i missed this earlier  what great news about college students   vegan  mfa ,1,2,1,8/25/2011 9:02,"author of The Sexual Politics of Meat, Burger, Protest Kitchen: Fight Injustice, Save the Planet, and Fuel Your Resistance One Meal at a Time, & others!",16521,8414,4338,6925,4/18/2009 16:33,FALSE,FALSE,_CarolJAdams,lives in Dallas,en,32933712,255,FALSE,2,1
_rshapiro,cool  un advocates vegan diet to save world from climate change    vegan  climatechange,NA,4,NA,6/10/2011 19:59,Co-founder/Executive Director @PropOTP. PhD @MIT. Previously @BKCHarvard. FOIA. nat sec. animals. punk rock.,14569,7227,40442,599,10/15/2010 13:32,FALSE,FALSE,_rshapiro,"Santa Cruz, CA",en,203071854,268,FALSE,2,1
_rshapiro,i m thankful for the 16 turkeys and 2 geese just liberated from a vermont farm    animalrights  vegan  alf,NA,11,NA,11/24/2011 21:17,Co-founder/Executive Director @PropOTP. PhD @MIT. Previously @BKCHarvard. FOIA. nat sec. animals. punk rock.,14569,7227,40442,599,10/15/2010 13:32,FALSE,FALSE,_rshapiro,"Santa Cruz, CA",en,203071854,268,FALSE,3,1
142dB,the sound of guns fired at wildlife makes me angry and sad  if only they could defend themselves     vegan  antihunting  murder,NA,1,1,11/11/2011 19:12,| it's all about the groove |,137,10,4,34,10/20/2011 20:56,FALSE,FALSE,142dB,,de,394922643,1,FALSE,3,0
1RadLibrarian, erinred just heard episode 6  thanks for answering my email   for vegan omnivore relationship suggestions   amy in austin  redradio  vegan,1,2,1,12/23/2011 1:33,"Progressive librarian from Austin, TX. Posting on civil liberties, labor rights, and money's destructive influence on our democratic processes.",6536,827,113,378,11/11/2011 1:11,FALSE,FALSE,1RadLibrarian,,en,409639642,59,FALSE,2,0
22DaysNutrition,check out  ecorazzi eats restaurant week   deals on  vegetarian  vegan and sustainable restaurants in the us ,NA,1,1,10/13/2011 19:12,"#Plantbased Lifestyle Solutions, The 22-Day Revolution Cookbook is available on Amazon and in stores nationwide!",10226,9881,1509,960,3/24/2010 16:00,FALSE,FALSE,22DaysNutrition,"Miami, Florida",en,126022698,194,FALSE,2,1
22DaysNutrition,the vegan starter kit   great info for going vegan     bravo oprah for creating more awareness of  vegan diets ,NA,1,1,2/8/2011 19:50,"#Plantbased Lifestyle Solutions, The 22-Day Revolution Cookbook is available on Amazon and in stores nationwide!",10226,9881,1509,960,3/24/2010 16:00,FALSE,FALSE,22DaysNutrition,"Miami, Florida",en,126022698,194,FALSE,1,1
2morrowknight,30 vegetarian sushi recipes     vegan  foodies  via  lifelonghealth  krystal rushing,NA,4,NA,3/6/2011 4:24,World Traveler<f0><U+009F><U+008C><U+008E>• Board @WorldCommForum @FreeNPTech • formerly @Apple @Microsoft • #GivingTuesday Ambassador • producing films with @RashaGoel • <f0><U+009F><U+00A4><U+0093>#AI #Travel,131339,870286,107537,488,1/25/2009 4:58,FALSE,TRUE,2morrowknight,"Seattle, Zagreb, or 30K feet",en,19478383,16125,FALSE,2,1
365_DOTS,it s day 3 of 12 days of xmas  today s  giveaway is a gorgeous  vegan  leather  handbag by  traccehandmade  ,NA,9,NA,12/15/2011 22:41,Connecting Fashion. Food. Travel I LA | Creator of @TC_Affair <f0><U+009F><U+0092><U+008C> hello@365dots.com,19700,3978,6851,851,3/5/2009 1:23,FALSE,FALSE,365_DOTS,Los Angeles ,en,22859431,155,FALSE,4,1
365_DOTS,this month s  giveaway has begun  enter to win a beautiful  vegan  leather  handbag from  pippihepburn  ,NA,5,1,10/17/2011 22:22,Connecting Fashion. Food. Travel I LA | Creator of @TC_Affair <f0><U+009F><U+0092><U+008C> hello@365dots.com,19700,3978,6851,851,3/5/2009 1:23,FALSE,FALSE,365_DOTS,Los Angeles ,en,22859431,155,FALSE,4,1
